fips,hrs_82,latitude,longitude,longitudes,latlong,latlong_placement,name,street,city,state,zip
"01003010200",30.290001,31.012501,87.625,-87.625,1,1,"PERDIDO GROUND WATER CONTAMINATION","COUNTY RD 47 S","Perdido","AL","36562"
"01103005700",61.419998,34.508888,86.638191,-86.638191,1,1,"TRIANA/TENNESSEE RIVER","USAMICOM DRSMI KL","Limestone/Morgan","AL","35898"
"01115040400",11.07,33.834999,86.253326,-86.253326,1,1,"MCALLISTER (ASHVILLE)","PINDALE SHORES S/D I-59","St. Clair County","AL","35953"
"04013114800",54.27,33.416668,112.0917,-112.0917,1,1,"NINETEENTH AVENUE LANDFILL","19TH AVE","Phoenix","AZ","85041"
"04013217800",40.02,33.466667,111.9083,-111.9083,1,1,"INDIAN BEND WASH AREA","MCDOWELL RD & HAYDEN","Scottsdale","AZ","85253"
"05035030600",38.099998,35.120899,90.3116,-90.3116,1,1,"GURLEY PIT","1 MI N OF EDMONDSON","Edmondsen","AR","72332"
"05035030700",33.099998,35.209721,90.256943,-90.256943,1,1,"CHRITTENDEN CO. LANDFILL","NW OF CITY 3/4 MI N OF HWY 64","Marion","AR","72364"
"05119003604",64.959999,34.877998,92.131203,-92.131203,1,1,"VERTAC, INC.","MARSHALL RD","Jacksonville","AR","72076"
"05131010301",36.900002,35.2402,94.352501,-94.352501,1,1,"INDUSTRIAL WASTE CONTROL","BONANZA ROAD","Ft. Smith","AR","72901"
"06013380000",43.32,37.908333,122.325,-122.325,1,1,"LIQUID GOLD OIL CORP.","HOFFMAN BLVD & S 47TH ST","Richmond","CA","94804"
"06019001500",43.27,36.687401,119.7467,-119.7467,1,1,"PURITY OIL SALES, INC.","3265 S MAPLE AVE","Malaga","CA","93726"
"06019007100",41.169998,36.556667,119.6017,-119.6017,1,1,"SELMA TREATING CO.","1735 DOCKERY AVE & ADJOINING","Selma","CA","93662"
"06023010101",30.309999,41.102699,123.6911,-123.6911,1,1,"CELTOR CHEMICAL WORKS","BETW NORTON FLD & TRINITY RIV","Hoopa","CA","95546"
"06037204600",7.79,34.035721,118.21862,-118.21862,1,1,"CAPRI  PUMPING","3128 WHITTIER BLVD","Los Angeles","CA","90023"
"06037292000",14.15,33.846638,118.28947,-118.28947,1,1,"CADILLAC FAIRVIEW","DEL AMO BLVD/ VERMONT AVE","Torrance","CA",""
"06037543801",12.25,33.847328,118.28026,-118.28026,1,1,"CAL COMPACT","20030 S MAIN","Carson","CA","90745"
"06037603200",19.34,33.873001,118.29889,-118.29889,1,1,"GARDENA SUMP 2","SW COR OF ARTESIA & NORMANDIE","Gardena","CA","90247"
"06037911000",12.93,34.537079,117.81022,-117.81022,1,1,"LLANO BARRELS","SE OF E 175TH ST & AVE T-8","Llano","CA","93534"
"06059110605",41.77,33.895302,117.9712,-117.9712,1,1,"MCCOLL","ROSECRANS & SUNNY RIDGE","Fullerton","CA","92633"
"06065040100",61.400002,34.023056,117.45833,-117.45833,1,1,"STRINGFELLOW","3490 PYRITE ST","Glen Avon Heights","CA","92509"
"06067005300",28.940001,38.591667,121.5033,-121.5033,1,1,"JIBBOOM JUNKYARD","240 - 260 JIBBOOM ST","Sacramento","CA","95814"
"06073021203",14.7,32.891602,116.74,-116.74,1,1,"EL CAPITAN","26820 EL MONTE RD NE OF","San Diego","CA","92040"
"06081611900",9.1400003,37.473579,122.12952,-122.12952,1,0,"ZOECON CP/CHIPMAN CHEM","","Palo Alto","CA",""
"06085508704",28.32,37.3787,122.0225,-122.0225,1,1,"WESTINGHOUSE SUNNYVILLE","HENDY AVE & FAIROAKS AVE","Sunnyvale","CA","94087"
